dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
126.5000   -0.102363    0.526898   -0.102363    0.526898
127.0000   -0.247764    0.351236   -0.247764    0.351236
127.5000   -0.326958    0.154724   -0.326958    0.154724
128.0000   -0.343704   -0.018927   -0.343704   -0.018927
128.5000   -0.314809   -0.136491   -0.314809   -0.136491
129.0000   -0.264415   -0.182304   -0.264415   -0.182304
129.5000   -0.216906   -0.160869   -0.216906   -0.160869
130.0000   -0.190211   -0.094483   -0.190211   -0.094483
130.5000   -0.191105   -0.016535   -0.191105   -0.016535
131.0000   -0.213622    0.037819   -0.213622    0.037819
131.5000   -0.240955    0.041332   -0.240955    0.041332
132.0000   -0.250341   -0.017719   -0.250341   -0.017719
132.5000   -0.219727   -0.131834   -0.219727   -0.131834
133.0000   -0.134589   -0.275467   -0.134589   -0.275467
133.5000    0.006831   -0.410861    0.006831   -0.410861
134.0000    0.191202   -0.497193    0.191202   -0.497193
134.5000    0.391412   -0.500872    0.391412   -0.500872
135.0000    0.571350   -0.404542    0.571350   -0.404542
135.5000    0.693226   -0.212577    0.693226   -0.212577
136.0000    0.725828    0.048322    0.725828    0.048322
136.5000    0.651906    0.333728    0.651906    0.333728
137.0000    0.472970    0.590345    0.472970    0.590345
137.5000    0.210348    0.767212    0.210348    0.767212
138.0000   -0.097871    0.826747   -0.097871    0.826747
138.5000   -0.403470    0.753149   -0.403470    0.753149
139.0000   -0.657016    0.556231   -0.657016    0.556231
139.5000   -0.817209    0.269787   -0.817209    0.269787
140.0000   -0.858737   -0.055186   -0.858737   -0.055186
140.5000   -0.776997   -0.360942   -0.776997   -0.360942
141.0000   -0.588711   -0.594789   -0.588711   -0.594789
141.5000   -0.328327   -0.719675   -0.328327   -0.719675
142.0000   -0.040999   -0.721230   -0.040999   -0.721230
142.5000    0.226332   -0.609775    0.226332   -0.609775
143.0000    0.433891   -0.416962    0.433891   -0.416962
143.5000    0.556155   -0.187904    0.556155   -0.187904
144.0000    0.585670    0.029324    0.585670    0.029324
144.5000    0.532904    0.194379    0.532904    0.194379
145.0000    0.422327    0.283095    0.422327    0.283095
145.5000    0.285745    0.291809    0.285745    0.291809
146.0000    0.154497    0.236685    0.154497    0.236685
146.5000    0.052323    0.148328    0.052323    0.148328
147.0000   -0.009473    0.063095   -0.009473    0.063095
147.5000   -0.033513    0.013247   -0.033513    0.013247
148.0000   -0.034254    0.018372   -0.034254    0.018372
148.5000   -0.032900    0.080141   -0.032900    0.080141
149.0000   -0.050650    0.181683   -0.050650    0.181683
149.5000   -0.101967    0.291729   -0.101967    0.291729
150.0000   -0.189582    0.372550   -0.189582    0.372550
150.5000   -0.302523    0.389777   -0.302523    0.389777
151.0000   -0.417752    0.321731   -0.417752    0.321731
151.5000   -0.505124    0.165992   -0.505124    0.165992
152.0000   -0.534580   -0.058451   -0.534580   -0.058451
152.5000   -0.483919   -0.314097   -0.483919   -0.314097
153.0000   -0.345293   -0.552333   -0.345293   -0.552333
153.5000   -0.128814   -0.723729   -0.128814   -0.723729
154.0000    0.137714   -0.788937    0.137714   -0.788937
154.5000    0.413099   -0.727708    0.413099   -0.727708
155.0000    0.650300   -0.543980    0.650300   -0.543980
155.5000    0.805679   -0.265814    0.805679   -0.265814
156.0000    0.848004    0.059856    0.848004    0.059856
156.5000    0.765222    0.376543    0.765222    0.376543
157.0000    0.567503    0.629579    0.567503    0.629579
157.5000    0.285803    0.777059    0.285803    0.777059
158.0000   -0.033820    0.797972   -0.033820    0.797972
158.5000   -0.338979    0.695809   -0.338979    0.695809
159.0000   -0.581001    0.496928   -0.581001    0.496928
159.5000   -0.724127    0.244151   -0.724127    0.244151
160.0000   -0.751934   -0.012888   -0.751934   -0.012888
160.5000   -0.669675   -0.228433   -0.669675   -0.228433
161.0000   -0.502102   -0.369923   -0.502102   -0.369923
161.5000   -0.287347   -0.423914   -0.287347   -0.423914
162.0000   -0.068282   -0.397395   -0.068282   -0.397395
162.5000    0.116687   -0.314359    0.116687   -0.314359
163.0000    0.241342   -0.208611    0.241342   -0.208611
163.5000    0.296216   -0.114621    0.296216   -0.114621
164.0000    0.289079   -0.058670    0.289079   -0.058670
164.5000    0.241365   -0.052394    0.241365   -0.052394
165.0000    0.181507   -0.090252    0.181507   -0.090252
165.5000    0.136854   -0.151468    0.136854   -0.151468
166.0000    0.126165   -0.205940    0.126165   -0.205940
166.5000    0.154504   -0.222616    0.154504   -0.222616
167.0000    0.211803   -0.178311    0.211803   -0.178311
167.5000    0.275444   -0.064748    0.275444   -0.064748
168.0000    0.316282    0.107914    0.316282    0.107914
168.5000    0.306641    0.312017    0.306641    0.312017
169.0000    0.228354    0.507712    0.228354    0.507712
169.5000    0.078830    0.651489    0.078830    0.651489
170.0000   -0.126413    0.706013   -0.126413    0.706013
170.5000   -0.355537    0.649045   -0.355537    0.649045
171.0000   -0.566245    0.479346   -0.566245    0.479346
171.5000   -0.714539    0.218174   -0.714539    0.218174
172.0000   -0.764439   -0.094066   -0.764439   -0.094066
172.5000   -0.696474   -0.405378   -0.696474   -0.405378
173.0000   -0.512968   -0.662331   -0.512968   -0.662331
173.5000   -0.238811   -0.820658   -0.238811   -0.820658
174.0000    0.082602   -0.854003    0.082602   -0.854003
174.5000    0.397495   -0.758965    0.397495   -0.758965
175.0000    0.652221   -0.555389    0.652221   -0.555389
175.5000    0.803907   -0.281899    0.803907   -0.281899
176.0000    0.828951    0.012289    0.828951    0.012289
176.5000    0.727509    0.277434    0.727509    0.277434
177.0000    0.523024    0.473047    0.523024    0.473047
177.5000    0.256915    0.575254    0.256915    0.575254
178.0000   -0.020377    0.580281   -0.020377    0.580281
178.5000   -0.259987    0.503443   -0.259987    0.503443
179.0000   -0.424523    0.374063   -0.424523    0.374063
179.5000   -0.495110    0.227647   -0.495110    0.227647
180.0000   -0.474075    0.097213   -0.474075    0.097213
180.5000   -0.382797    0.005796   -0.382797    0.005796
181.0000   -0.255350   -0.038150   -0.255350   -0.038150
181.5000   -0.129510   -0.041498   -0.129510   -0.041498
182.0000   -0.037307   -0.023282   -0.037307   -0.023282
182.5000    0.002644   -0.008515    0.002644   -0.008515
183.0000   -0.010774   -0.020557   -0.010774   -0.020557
183.5000   -0.061622   -0.073985   -0.061622   -0.073985
184.0000   -0.121708   -0.169710   -0.121708   -0.169710
184.5000   -0.158556   -0.293625   -0.158556   -0.293625
185.0000   -0.144586   -0.419149   -0.144586   -0.419149
185.5000   -0.065219   -0.513157   -0.065219   -0.513157
186.0000    0.076120   -0.543942    0.076120   -0.543942
186.5000    0.257410   -0.489341    0.257410   -0.489341
187.0000    0.442133   -0.343127    0.442133   -0.343127
187.5000    0.587213   -0.118062    0.587213   -0.118062
188.0000    0.653011    0.155179    0.653011    0.155179
188.5000    0.613071    0.433156    0.613071    0.433156
189.0000    0.461293    0.667839    0.461293    0.667839
189.5000    0.214780    0.816126    0.214780    0.816126
190.0000   -0.088437    0.848653   -0.088437    0.848653
190.5000   -0.396450    0.756001   -0.396450    0.756001
191.0000   -0.653824    0.550951   -0.653824    0.550951
191.5000   -0.813002    0.266268   -0.813002    0.266268
192.0000   -0.844269   -0.051516   -0.844269   -0.051516
192.5000   -0.742041   -0.351024   -0.742041   -0.351024
193.0000   -0.526067   -0.585778   -0.526067   -0.585778
193.5000   -0.237273   -0.722728   -0.237273   -0.722728
194.0000    0.070852   -0.747843    0.070852   -0.747843
194.5000    0.343414   -0.667663    0.343414   -0.667663
195.0000    0.535343   -0.506641    0.535343   -0.506641
195.5000    0.620233   -0.300986    0.620233   -0.300986
196.0000    0.594870   -0.090470    0.594870   -0.090470
196.5000    0.478550    0.089948    0.478550    0.089948
197.0000    0.307444    0.216842    0.307444    0.216842
197.5000    0.125432    0.281988    0.125432    0.281988
198.0000   -0.026424    0.292305   -0.026424    0.292305
198.5000   -0.119287    0.266268   -0.119287    0.266268
199.0000   -0.142665    0.227797   -0.142665    0.227797
199.5000   -0.105868    0.199191   -0.105868    0.199191
200.0000   -0.034555    0.194834   -0.034555    0.194834
200.5000    0.036727    0.217242    0.036727    0.217242
201.0000    0.074149    0.256362    0.074149    0.256362
201.5000    0.053979    0.292322    0.053979    0.292322
202.0000   -0.030569    0.300942   -0.030569    0.300942
202.5000   -0.166734    0.260674   -0.166734    0.260674
203.0000   -0.324549    0.159265   -0.324549    0.159265
203.5000   -0.463633   -0.001520   -0.463633   -0.001520
204.0000   -0.542890   -0.204360   -0.542890   -0.204360
204.5000   -0.530821   -0.418551   -0.530821   -0.418551
205.0000   -0.413996   -0.605546   -0.413996   -0.605546
205.5000   -0.201624   -0.726751   -0.201624   -0.726751
206.0000    0.074985   -0.751899    0.074985   -0.751899
206.5000    0.368075   -0.666141    0.368075   -0.666141
207.0000    0.623045   -0.474237    0.623045   -0.474237
207.5000    0.789911   -0.200829    0.789911   -0.200829
208.0000    0.834077    0.113397    0.834077    0.113397
208.5000    0.743976    0.418949    0.743976    0.418949
209.0000    0.533870    0.666719    0.533870    0.666719
209.5000    0.241127    0.817229    0.241127    0.817229
210.0000   -0.081437    0.848031   -0.081437    0.848031
210.5000   -0.376450    0.757720   -0.376450    0.757720
211.0000   -0.593732    0.565754   -0.593732    0.565754
211.5000   -0.700287    0.308164   -0.700287    0.308164
212.0000   -0.686387    0.030114   -0.686387    0.030114
212.5000   -0.566472   -0.223094   -0.566472   -0.223094
